date,symbol,expiry,strike,option_type,open,close,contracts,oi,underlying,source
2022-01-07,NIFTY,2022-01-13,15700.0,PE,2.5,1.4,4036,115850,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15750.0,PE,2.8,1.55,837,4250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15800.0,PE,2.45,1.4,5021,109400,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15850.0,PE,2.85,1.65,730,18300,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15900.0,PE,2.55,1.45,6819,154650,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15950.0,PE,2.3,1.4,19495,8450,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16000.0,PE,2.9,1.65,79010,1842400,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16050.0,PE,2.6,1.6,634,6400,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16100.0,PE,3.35,1.55,13257,150800,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16150.0,PE,3.45,1.65,735,6150,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16200.0,PE,3.5,1.6,43879,370900,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16250.0,PE,4.0,1.7,3563,35150,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16300.0,PE,3.25,1.9,43069,323200,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16350.0,PE,4.65,1.95,7687,81750,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16400.0,PE,5.15,2.15,79962,795650,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16450.0,PE,5.55,2.3,8929,33400,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16500.0,PE,5.0,2.4,220454,2269500,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16550.0,PE,4.65,2.8,11598,243700,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16600.0,PE,6.45,3.0,159307,1259000,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16650.0,PE,8.4,3.35,11621,87350,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16700.0,PE,9.35,3.7,142503,1493650,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16750.0,PE,8.25,4.05,17843,167350,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16800.0,PE,8.25,4.85,259585,3667250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16850.0,PE,10.8,5.15,21930,148050,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16900.0,PE,11.95,5.95,158714,1469500,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,16950.0,PE,11.0,6.4,29440,249850,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17000.0,PE,14.9,7.25,295704,2672450,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17050.0,PE,17.8,7.9,41304,219550,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17100.0,PE,19.75,9.15,197180,1104500,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17150.0,PE,15.0,10.4,58722,262150,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17200.0,PE,27.9,12.25,250481,1790000,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17250.0,PE,27.7,14.5,74184,316650,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17300.0,PE,34.2,17.5,254016,1426350,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17350.0,PE,40.8,21.25,92815,370950,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17400.0,PE,27.35,26.2,366393,1665050,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17450.0,PE,40.0,32.25,174575,426900,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17500.0,PE,60.55,39.2,824509,4128350,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17550.0,PE,78.0,48.2,260519,653500,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17600.0,PE,93.0,59.05,824571,2953550,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17650.0,PE,104.0,72.75,400347,630500,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17700.0,PE,132.7,88.65,1239393,2307600,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17750.0,PE,139.0,107.05,554953,581150,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17800.0,PE,151.0,127.95,1343862,2787000,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17850.0,PE,177.0,151.55,399466,361700,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17900.0,PE,207.7,180.15,608011,1142050,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17950.0,PE,240.75,208.0,66550,131950,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18000.0,PE,271.95,243.3,176854,494650,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18050.0,PE,284.95,277.5,11804,54200,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18100.0,PE,348.05,314.4,24243,149550,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18150.0,PE,359.45,352.65,2397,22400,,NSE_bhavcopy
