entry_date,near_expiry,far_expiry,secondary_spot_open,primary_spot_open,spot_abs_diff,primary_reason,primary_strike,secondary_strike,secondary_status,comparison_status,strike_mode,secondary_missing_entry,secondary_missing_exit,secondary_max_abs_price_diff,secondary_pnl_inr
2022-09-23,2022-09-29,2022-10-20,17593.849609375,17610.4,16.550390625001455,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,18000.0,17600.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,393.5999999999999,4620.0
2022-09-30,2022-10-06,2022-10-27,16798.05078125,16808.7,10.649218750000728,VALID,16800.0,16800.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SAME_AS_PRIMARY_STRIKE,,,6.149999999999977,-440.0000000000018
2022-10-07,2022-10-13,2022-11-03,17287.19921875,17299.6,12.400781249998545,MISSING_ENTRY_LEG,17400.0,17300.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,117.95000000000005,-402.5
2022-10-14,2022-10-20,2022-11-10,17322.30078125,17293.4,28.900781249998545,MISSING_ENTRY_LEG,17500.0,17300.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,186.64999999999998,1320.0
2022-10-21,2022-10-27,2022-11-17,17622.849609375,17624.8,1.9503906249992724,MISSING_ENTRY_LEG,17600.0,17600.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_EXACT,SAME_AS_PRIMARY_STRIKE,,,21.700000000000003,1960.000000000001
2022-10-28,2022-11-03,2022-11-24,17756.400390625,17760.4,3.999609375001455,VALID,17750.0,17750.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SAME_AS_PRIMARY_STRIKE,,,6.849999999999966,1822.499999999999
2022-11-04,2022-11-10,2023-01-05,18053.400390625,18064.8,11.399609374999272,NO_COMMON_STRIKE,,18050.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,,12975.0
2022-11-11,2022-11-17,2023-01-12,18272.349609375,18284.9,12.550390625001455,NO_COMMON_STRIKE,,18250.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,,-7160.0
2022-11-18,2022-11-24,2023-01-19,18382.94921875,18385.1,2.150781249998545,NO_COMMON_STRIKE,,18400.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,,4507.5
2023-01-02,2023-01-05,2023-01-25,18131.69921875,18133.65,1.9507812500014552,VALID,18150.0,18150.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SAME_AS_PRIMARY_STRIKE,,,8.850000000000023,980.0000000000014
2023-01-06,2023-01-12,2023-02-02,18008.05078125,18013.4,5.349218750001455,MISSING_ENTRY_LEG,18000.0,18000.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_EXACT,SAME_AS_PRIMARY_STRIKE,,,6.800000000000011,1442.5
2023-01-13,2023-01-19,2023-02-09,17867.5,17871.05,3.5499999999992724,MISSING_ENTRY_LEG,17900.0,17850.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,54.75,-35.0
2023-01-20,2023-01-25,2023-02-16,18115.599609375,18116.2,0.6003906250007276,VALID,18100.0,18100.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SAME_AS_PRIMARY_STRIKE,,,3.5999999999999943,-70.0
2023-01-27,2023-02-02,2023-02-23,17877.19921875,17884.75,7.55078125,VALID,17900.0,17900.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SAME_AS_PRIMARY_STRIKE,,,9.449999999999989,297.5
2023-02-03,2023-02-09,2023-03-02,17721.75,17722.35,0.5999999999985448,MISSING_ENTRY_LEG,17800.0,17700.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,94.85,1525.0
2023-02-10,2023-02-16,2023-03-09,17847.55078125,17847.65,0.09921875000145519,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,17000.0,17850.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,834.45,4449.999999999999
2023-02-17,2023-02-23,2023-03-16,17974.849609375,17980.25,5.400390625,MISSING_ENTRY_LEG,18000.0,17950.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,51.25,1122.5
2023-02-24,2023-03-02,2023-03-23,17591.349609375,17593.6,2.250390624998545,MISSING_ENTRY_LEG,17400.0,17600.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,196.95,-199.9999999999991
2023-03-03,2023-03-09,2023-03-29,17451.25,17434.3,16.950000000000728,VALID,17450.0,17450.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SAME_AS_PRIMARY_STRIKE,,,9.25,695.0000000000005
2023-03-10,2023-03-16,2023-04-06,17443.80078125,17451.5,7.69921875,VALID,17500.0,17450.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,93.5,11417.5
2023-03-17,2023-03-23,2023-04-13,17111.80078125,17119.5,7.69921875,VALID,17000.0,17100.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,72.5,-1357.4999999999973
2023-03-24,2023-03-29,2023-04-20,17076.19921875,17092.7,16.500781250000728,MISSING_ENTRY_LEG,17200.0,17100.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,93.69999999999999,772.4999999999995
