entry_date,near_expiry,far_expiry,strike,lot_near,lot_far,entry_near_pe,exit_near_pe,entry_near_ce,exit_near_ce,entry_far_ce,exit_far_ce,entry_far_pe,exit_far_pe,pnl_inr,comparison_status_x,near_pe_pnl,near_ce_pnl,far_ce_pnl,far_pe_pnl,entry_net_inr,entry_gross_inr,entry_debit_ratio,call_ratio,put_ratio,calendar_balance_ratio,call_calendar_points,put_calendar_points,calendar_asymmetry,loss_reason,far_legs_direction,primary_spot_open,primary_strike,secondary_strike,comparison_status_y,entry_abs_moneyness,year,candidate_gate,conservative_net20_2pt
2023-05-26,2023-06-01,2023-06-22,18350.0,50,50,80.0,0.15,115.0,146.55,280.95,306.45,184.6,100.65,-97.50000000000092,PRIMARY_VALID_SECONDARY_COMPLETE,-3992.4999999999995,-1577.5000000000005,1275.0,4197.499999999999,3067.5,33027.5,0.09287714783135266,2.4430434782608694,2.3075,1.0587404022799,165.95,104.6,0.22676030308546755,BOTH_NEAR_ADVERSE,FAR_NET_FAVORABLE,18368.3,18400.0,18350.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0017257993390787786,2023,True,-1142.050946650001
2023-06-09,2023-06-15,2023-07-06,18650.0,50,50,71.6,0.95,111.0,37.3,256.7,242.35,155.9,125.0,980.0000000000008,RECOVERED_BY_SECONDARY_EXACT,-3532.4999999999995,3685.0,-717.4999999999998,1545.0000000000002,3070.0,29760.0,0.10315860215053764,2.3126126126126123,2.177374301675978,1.0621107316424825,145.7,84.30000000000001,0.2669565217379697,NON_LOSS,FAR_NET_FAVORABLE,18655.9,18650.0,18650.0,RECOVERED_BY_SECONDARY_EXACT,0.00031625383926808435,2023,True,-55.06229719999931
2023-06-16,2023-06-22,2023-07-13,18700.0,50,50,70.0,0.3,110.0,74.4,282.0,293.8,142.95,116.65,199.9999999999996,RECOVERED_BY_SECONDARY_EXACT,-3485.0,1779.9999999999998,590.0000000000006,1314.999999999999,4952.500000000001,30247.5,0.1637325398793289,2.5636363636363635,2.042142857142857,1.2553658303920634,172.0,72.94999999999999,0.40436823841435254,NON_LOSS,FAR_NET_FAVORABLE,18723.3,18700.0,18700.0,RECOVERED_BY_SECONDARY_EXACT,0.0012444387474429867,2023,False,-838.9321534000005
2023-06-30,2023-07-06,2023-07-27,19100.0,50,50,111.1,0.15,61.6,398.2,220.0,501.7,190.0,70.45,-2315.0,PRIMARY_VALID_SECONDARY_COMPLETE,-5547.499999999999,-16830.0,14085.0,5977.5,3975.0,29135.0,0.13643384245752532,3.571428571428571,1.7101710171017102,2.088345864661654,158.4,78.9,0.3350189633361356,BOTH_NEAR_ADVERSE,FAR_NET_FAVORABLE,19076.8,19100.0,19100.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0012161368783024787,2023,False,-3374.4559762999997
2023-07-07,2023-07-13,2023-08-03,19400.0,50,50,81.0,6.35,111.4,9.0,312.45,237.25,180.05,136.45,-192.4999999999991,PRIMARY_VALID_SECONDARY_COMPLETE,-3732.5000000000005,5120.0,-3759.9999999999995,2180.000000000001,5100.0,34245.0,0.14892685063512923,2.8047576301615798,2.2228395061728397,1.2617904362293137,201.04999999999998,99.05000000000001,0.3398867044307234,NEAR_PUT_ADVERSE,FAR_NET_ADVERSE,19422.8,19400.0,19400.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0011738781226187404,2023,False,-1230.573550549999
2023-07-14,2023-07-20,2023-08-10,19500.0,50,50,90.15,0.15,84.25,481.65,258.25,565.05,174.7,59.15,-3252.5000000000027,PRIMARY_VALID_SECONDARY_COMPLETE,-4500.0,-19870.0,15339.999999999998,5777.499999999999,4472.5,30367.5,0.14727916357948465,3.065281899109792,1.9378813089295617,1.581769680622483,174.0,84.54999999999998,0.34596789789075255,BOTH_NEAR_ADVERSE,FAR_NET_FAVORABLE,19493.45,19500.0,19500.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.00033601030089590463,2023,False,-4319.033400150003
2023-07-21,2023-07-27,2023-08-17,19800.0,50,50,70.0,156.9,130.05,0.3,326.05,181.55,174.3,209.7,1837.500000000001,PRIMARY_VALID_SECONDARY_COMPLETE,4345.0,6487.5,-7225.0,-1769.9999999999989,4585.0,35020.0,0.13092518560822386,2.507112648981161,2.49,1.0068725497916309,196.0,104.30000000000001,0.3053613053602885,NON_LOSS,FAR_NET_ADVERSE,19800.45,19800.0,19800.0,PRIMARY_VALID_SECONDARY_COMPLETE,2.272675621012288e-05,2023,True,790.7886678500008
2023-07-28,2023-08-03,2023-08-24,19650.0,50,50,88.0,277.4,170.05,0.15,299.0,98.4,190.95,320.0,1482.499999999999,PRIMARY_VALID_SECONDARY_COMPLETE,9469.999999999998,8495.0,-10030.0,-6452.500000000001,1300.0,37400.0,0.034759358288770054,1.7583063804763304,2.1698863636363637,0.8103218721231583,128.95,102.94999999999999,0.11211729193569593,NON_LOSS,FAR_NET_ADVERSE,19659.75,19650.0,19650.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0004959371304314653,2023,True,426.932556949999
2023-08-04,2023-08-10,2023-08-31,19450.0,50,50,80.0,0.25,101.2,87.3,219.75,260.7,182.7,114.85,2147.499999999999,PRIMARY_VALID_SECONDARY_COMPLETE,-3987.5,695.0000000000002,2047.4999999999995,3392.4999999999995,792.5,29182.5,0.027156686370256148,2.1714426877470356,2.28375,0.9508232896538744,118.55,102.69999999999999,0.0716384180787723,NON_LOSS,FAR_NET_FAVORABLE,19462.8,19450.0,19450.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0006576648786402405,2023,True,1109.979704249999
2023-08-11,2023-08-17,2023-09-07,19550.0,50,50,95.05,177.0,111.0,0.1,230.25,121.25,209.55,242.2,2560.000000000001,RECOVERED_BY_SECONDARY_EXACT,4097.5,5545.0,-5450.0,-1632.4999999999989,237.5,32292.5,0.007354648912286135,2.074324324324324,2.2046291425565494,0.9408949034933285,119.25,114.50000000000001,0.02032085561488627,NON_LOSS,FAR_NET_ADVERSE,19554.25,19550.0,19550.0,RECOVERED_BY_SECONDARY_EXACT,0.00021734405564007825,2023,True,1515.942302400001
