entry_date,near_expiry,far_expiry,expiry_regime,spot_open,status,status_detail,gate_pass,strike,entry_near_pe,entry_near_ce,entry_far_ce,entry_far_pe,exit_near_pe,exit_near_ce,exit_far_ce,exit_far_pe,lot_near,lot_far,call_ratio,put_ratio,calendar_balance_ratio,pnl_points,pnl_inr,reason,fixed_status,event_status
2025-12-31,2026-01-06,2026-01-27,TUESDAY,25971.05078125,ERROR,GATE_PASS,True,25950.0,80.0,158.0,379.95,195.4,0.1,226.4,433.45,93.95,65.0,65.0,2.4047468354430377,2.4425,0.9845432284311312,6.649999999999992,432.25,KeyError:'timestamp',,
2026-01-07,2026-01-13,2026-02-03,TUESDAY,26143.099609375,ERROR,GATE_FAIL,False,26150.0,98.0,127.0,403.65,234.7,413.45,0.1,154.6,465.5,65.0,65.0,3.178346456692913,2.394897959183673,1.3271323082910331,-37.50000000000006,-2437.499999999998,KeyError:'timestamp',,
2026-01-14,2026-01-20,2026-02-10,TUESDAY,25648.55078125,ERROR,GATE_PASS,True,25650.0,106.95,171.2,417.0,224.0,383.9,0.25,189.95,362.8,65.0,65.0,2.435747663551402,2.0944366526414213,1.1629607706108145,82.0499999999999,5333.25,KeyError:'timestamp',,
2026-01-21,2026-01-27,2026-02-17,TUESDAY,25141.0,ERROR,GATE_PASS,True,25150.0,120.0,216.75,463.5,318.15,6.9,15.95,478.5,255.8,65.0,65.0,2.13840830449827,2.65125,0.8065660743039208,165.05,10728.249999999998,KeyError:'timestamp',,
2026-01-28,2026-02-03,2026-02-24,TUESDAY,25258.849609375,ERROR,GATE_PASS,True,25250.0,211.0,283.0,491.5,309.95,0.3,478.1,661.2,103.55,65.0,65.0,1.7367491166077738,1.468957345971564,1.1823005762356518,-29.69999999999997,-1930.4999999999984,KeyError:'timestamp',,
2026-02-04,2026-02-10,2026-03-02,TUESDAY,25675.05078125,ERROR,GATE_PASS,True,25700.0,180.0,199.2,361.55,285.0,0.15,244.65,443.05,127.2,65.0,65.0,1.8150100401606428,1.5833333333333333,1.1463221306277744,13.999999999999986,910.0,KeyError:'timestamp',,
2026-02-11,2026-02-17,2026-03-10,TUESDAY,25997.44921875,ERROR,GATE_FAIL,False,26000.0,139.0,125.3,338.15,241.0,272.1,0.1,178.4,361.95,65.0,65.0,2.6987230646448523,1.733812949640288,1.5565249211022176,-22.39999999999992,-1455.9999999999973,KeyError:'timestamp',,
2026-02-18,2026-02-24,2026-03-17,TUESDAY,25752.650390625,ERROR,GATE_FAIL,False,25750.0,148.0,160.0,369.85,250.0,327.6,0.15,217.0,451.95,65.0,65.0,2.3115625,1.6891891891891893,1.368445,-15.349999999999966,-997.7500000000018,KeyError:'timestamp',,
2026-02-25,2026-03-02,2026-03-24,TUESDAY,25512.599609375,ANALYZED,GATE_FAIL,False,25500.0,159.0,174.4,430.0,269.8,640.4,0.1,152.35,701.25,65.0,65.0,2.465596330275229,1.6968553459119498,1.4530386082793232,-53.40000000000009,-3471.0,,NO_TRIGGER,NO_TRIGGER
2026-03-04,2026-03-10,2026-03-30,TUESDAY,24388.80078125,ANALYZED,GATE_PASS,True,24400.0,200.0,299.85,453.25,374.0,148.1,0.3,412.7,418.65,65.0,65.0,1.511589127897282,1.87,0.808336432030632,162.45000000000005,10559.250000000002,,NO_TRIGGER,NO_TRIGGER
