entry_date,near_expiry,far_expiry,expiry_regime,spot_open,primary_reason,primary_strike,primary_spot_open,primary_near_pe_open,primary_near_ce_open,primary_far_ce_open,primary_far_pe_open,primary_near_pe_close,primary_near_ce_close,primary_far_ce_close,primary_far_pe_close
2026-04-22,2026-04-28,2026-05-19,TUESDAY,24470.849609375,VALID,,24470.849609375,,,,,,,,
2026-04-29,2026-05-05,2026-05-26,TUESDAY,24096.900390625,VALID,,24096.900390625,,,,,,,,
2026-05-06,2026-05-12,2026-06-02,TUESDAY,24171.0,VALID,,24171.0,,,,,,,,
2026-05-13,2026-05-19,2026-06-09,TUESDAY,23362.44921875,VALID,,23362.44921875,,,,,,,,
2026-05-20,2026-05-26,2026-06-16,TUESDAY,23457.25,VALID,,23457.25,,,,,,,,
2026-05-27,2026-06-02,2026-06-23,TUESDAY,23880.349609375,VALID,,23880.349609375,,,,,,,,
2026-06-03,2026-06-09,2026-06-30,TUESDAY,23415.94921875,VALID,,23415.94921875,,,,,,,,
2026-06-10,2026-06-16,2026-07-07,TUESDAY,23233.94921875,VALID,,23233.94921875,,,,,,,,
2026-06-17,2026-06-23,2026-07-14,TUESDAY,24044.5,VALID,,24044.5,,,,,,,,
2026-06-24,2026-06-30,2026-07-21,TUESDAY,23795.80078125,VALID,,23795.80078125,,,,,,,,
2026-07-01,2026-07-07,2026-07-28,TUESDAY,23897.650390625,VALID,,23897.650390625,,,,,,,,
2026-07-08,2026-07-14,2026-08-04,TUESDAY,24259.55078125,VALID,,24259.55078125,,,,,,,,
2026-07-15,2026-07-21,2026-08-11,TUESDAY,24085.849609375,VALID,,24085.849609375,,,,,,,,
2026-07-22,2026-07-28,2026-08-18,TUESDAY,24150.44921875,VALID,,24150.44921875,,,,,,,,
2026-07-29,2026-08-04,2026-08-25,TUESDAY,24176.650390625,VALID,,24176.650390625,,,,,,,,
2026-08-05,2026-08-11,2026-09-01,TUESDAY,24669.19921875,VALID,,24669.19921875,,,,,,,,
2026-08-12,2026-08-18,2026-09-08,TUESDAY,24472.44921875,VALID,,24472.44921875,,,,,,,,
2026-08-19,2026-08-25,2026-09-15,TUESDAY,24152.05078125,VALID,,24152.05078125,,,,,,,,
2026-08-26,2026-09-01,2026-09-22,TUESDAY,24341.94921875,VALID,,24341.94921875,,,,,,,,
