entry_date,near_expiry,far_expiry,strike,lot_near,lot_far,entry_near_pe,exit_near_pe,entry_near_ce,exit_near_ce,entry_far_ce,exit_far_ce,entry_far_pe,exit_far_pe,pnl_inr,comparison_status
2023-07-21,2023-07-27,2023-08-17,19800.0,50,50,70.0,156.9,130.05,0.3,326.05,181.55,174.3,209.7,1837.500000000001,PRIMARY_VALID_SECONDARY_COMPLETE
2023-07-28,2023-08-03,2023-08-24,19650.0,50,50,88.0,277.4,170.05,0.15,299.0,98.4,190.95,320.0,1482.499999999999,PRIMARY_VALID_SECONDARY_COMPLETE
2023-08-04,2023-08-10,2023-08-31,19450.0,50,50,80.0,0.25,101.2,87.3,219.75,260.7,182.7,114.85,2147.499999999999,PRIMARY_VALID_SECONDARY_COMPLETE
2023-08-11,2023-08-17,2023-09-07,19550.0,50,50,95.05,177.0,111.0,0.1,230.25,121.25,209.55,242.2,2560.000000000001,RECOVERED_BY_SECONDARY_EXACT
2023-08-18,2023-08-24,2023-09-14,19300.0,50,50,95.0,0.15,140.0,93.6,276.1,282.5,186.25,112.15,1602.4999999999986,PRIMARY_VALID_SECONDARY_COMPLETE
2023-08-25,2023-08-31,2023-09-21,19300.0,50,50,81.05,44.35,120.0,1.05,265.0,245.5,185.0,145.2,5127.5,RECOVERED_BY_SECONDARY_EXACT
2023-09-01,2023-09-07,2023-09-28,19250.0,50,50,70.0,0.1,174.9,477.9,320.0,556.6,157.95,41.9,-1012.4999999999992,PRIMARY_VALID_SECONDARY_COMPLETE
2023-09-15,2023-09-21,2023-10-12,20150.0,50,50,85.0,408.55,105.0,0.05,300.85,72.6,163.75,364.0,-1.8189894035458565e-12,RECOVERED_BY_SECONDARY_EXACT
2023-09-22,2023-09-28,2023-10-19,19750.0,50,50,103.0,227.45,121.0,0.2,294.0,160.75,170.6,293.05,-522.5000000000009,RECOVERED_BY_SECONDARY_EXACT
2023-09-29,2023-10-05,2023-10-26,19600.0,50,50,130.0,54.05,119.0,0.15,282.6,169.7,224.55,206.05,-2575.000000000002,PRIMARY_VALID_SECONDARY_COMPLETE
2023-10-06,2023-10-12,2023-11-02,19600.0,50,50,110.0,0.1,87.65,196.2,257.45,384.75,180.0,90.85,-99.99999999999908,RECOVERED_BY_SECONDARY_EXACT
2023-10-20,2023-10-26,2023-11-16,19550.0,50,50,91.55,695.25,125.0,0.1,274.3,33.9,177.45,637.0,1432.5,RECOVERED_BY_SECONDARY_EXACT
2023-10-27,2023-11-02,2023-11-23,18950.0,50,50,148.0,0.1,116.0,184.05,299.35,372.7,213.45,90.25,-970.0000000000028,RECOVERED_BY_SECONDARY_EXACT
2023-11-03,2023-11-09,2023-11-30,19250.0,50,50,77.8,0.1,110.1,145.95,261.4,323.35,163.0,85.4,1300.0000000000018,PRIMARY_VALID_SECONDARY_COMPLETE
2023-11-10,2023-11-16,2023-12-07,19350.0,50,50,75.95,0.1,139.0,433.45,244.8,503.5,170.2,41.6,850.0,PRIMARY_VALID_SECONDARY_COMPLETE
2023-11-17,2023-11-23,2023-12-14,19650.0,50,50,49.9,0.1,181.0,151.1,330.0,373.1,138.4,80.9,4035.000000000001,PRIMARY_VALID_SECONDARY_COMPLETE
2023-11-24,2023-11-30,2023-12-21,19800.0,50,50,57.8,0.15,138.0,329.65,303.0,530.85,154.75,82.75,2527.500000000004,PRIMARY_VALID_SECONDARY_COMPLETE
2023-12-01,2023-12-07,2023-12-28,20200.0,50,50,99.2,0.05,154.25,701.1,325.0,855.8,203.65,26.4,3102.4999999999964,PRIMARY_VALID_SECONDARY_COMPLETE
2023-12-08,2023-12-14,2024-01-04,20950.0,50,50,90.2,0.1,150.4,223.55,338.9,489.65,195.1,78.15,5222.499999999999,RECOVERED_BY_SECONDARY_EXACT
2023-12-15,2023-12-21,2024-01-11,21300.0,50,50,90.05,52.35,135.6,0.45,344.95,337.05,194.9,201.9,4127.500000000001,PRIMARY_VALID_SECONDARY_COMPLETE
2023-12-22,2023-12-28,2024-01-18,21300.0,50,50,115.0,0.15,185.0,474.55,394.2,726.75,226.15,111.9,2120.0,PRIMARY_VALID_SECONDARY_COMPLETE
2023-12-29,2024-01-04,2024-01-25,21750.0,50,50,135.0,98.35,249.75,0.1,496.0,271.35,274.95,240.5,1140.0000000000014,PRIMARY_VALID_SECONDARY_COMPLETE
2024-01-05,2024-01-11,2024-02-01,21700.0,50,50,111.05,55.95,148.95,0.25,401.95,282.55,237.9,260.7,-2429.999999999998,PRIMARY_VALID_SECONDARY_COMPLETE
2024-01-12,2024-01-18,2024-02-08,21750.0,50,50,165.0,292.3,115.0,0.1,348.85,242.35,282.55,388.1,1507.4999999999973,PRIMARY_VALID_SECONDARY_COMPLETE
2024-01-19,2024-01-25,2024-02-15,21600.0,50,50,154.65,271.4,168.0,0.2,405.0,225.15,258.7,363.5,-5.0000000000027285,PRIMARY_VALID_SECONDARY_COMPLETE
2024-01-29,2024-02-01,2024-02-22,21450.0,50,50,194.0,0.2,171.0,251.5,360.0,532.6,279.55,168.15,485.0000000000018,RECOVERED_BY_SECONDARY_EXACT
2024-02-02,2024-02-08,2024-02-29,21800.0,50,50,151.15,99.0,165.6,0.25,360.0,312.65,275.0,299.25,2079.999999999999,PRIMARY_VALID_SECONDARY_COMPLETE
2024-02-16,2024-02-22,2024-03-14,22000.0,50,50,132.9,0.3,169.0,207.7,410.55,493.65,280.0,170.1,1084.9999999999982,RECOVERED_BY_SECONDARY_EXACT
2024-02-23,2024-02-29,2024-03-21,22300.0,50,50,168.0,328.95,150.5,0.15,402.75,215.55,301.7,372.25,2677.4999999999995,RECOVERED_BY_SECONDARY_EXACT
